번호,분류,식당명,메뉴,가격,링크,별점,코멘트,거리(분),위도,경도,주소,이미지
48,양식,블루문,"치킨버거, 새우버거, 카레함박","9,000~13,000원",https://naver.me/xdIkiTnp,,"블루문 맥주의 팝업스토어, 맥주(220ml) 세트 메뉴도 있음 ",,37.5044742,127.0425632,서울 강남구 언주로94길 5,
49,양식,파머스키친,수제버거,"9,000~13,000원",https://bit.ly/3iBibho,,양양에서 유명한 수제버거 맛집. 최근 선정릉 오픈. 치즈버거 맛있음 ㅎㅎ,,37.5098717,127.0414414,서울 강남구 봉은사로 315,
50,양식,곰스603,스테이크,"9,000~12,000원",https://bit.ly/3iBibho,,각종스테이크 및 샐러드,10분,37.5098717,127.0414414,서울 강남구 봉은사로 315,
51,양식,쇼유식당,"함박스테이크, 파스타","15,500 ~",https://naver.me/IgTNoOlO,,,,37.5044109,127.0436827,서울 강남구 테헤란로43길 17,
52,아시안,소이연남,쌀국수,,https://naver.me/GgekT3fA,,,,37.5028813,127.0413566,서울 강남구 테헤란로 231,
53,아시안,포몬스,쌀국수,,https://naver.me/F4N0LtcB,,,,37.4946721,127.0333129,서울 강남구 역삼로7길 8,
54,기타,멕시코밥집,"엔칠라다, 퀘사디아","8,000원",https://naver.me/5FZYUIxB, ★★★★★,"아늑한 분위기, 고수 추가 가능",,37.5054029,127.0402739,서울 강남구 언주로97길 12,
55,기타,바리,샐러드,,https://naver.me/Goz5tdId,,,,37.5072046,127.0361135,서울 강남구 언주로107길 38,
56,기타,샐러드잇,샐러드,,https://naver.me/F9VlZRZ5,,"2층까지 사용가능, 생각보다 양 많음, 와인도 가능!",,37.5085017,127.0369446,서울 강남구 봉은사로 227,
57,기타,웨인스 베이글,베이글,,https://naver.me/5wHHbDhG,,자리가 협소 ,센터필드 지하 ,37.5028813,127.0413566,서울 강남구 테헤란로 231,
58,카페,시그니처,"커피, 디저트","6,000 원",https://naver.me/GROzkQ0K,,"비쌈, 쾌적한 환경 1 2 3층",,37.5076364,127.0360332,서울 강남구 봉은사로 218,
